SITE,FD,SU,GSL,R10MM,R20MM,RX5DAY,SDII,DROUGHTLEN
3_48_113_91,32.225806451612904,194.16129032258064,352.38709677419354,35.70967741935484,17.870967741935484,135.4170967741935,14.547104940500676,44.645161290322584
3_48_15_53,13.225806451612904,226.3548387096774,361.61290322580646,37.25806451612903,18.70967741935484,155.8383870967742,14.339180744505683,39.03225806451613
4_48_239_82,7.32258064516129,239.29032258064515,363.64516129032256,37.67741935483871,18.774193548387096,173.98000000000002,15.76007170273734,41.935483870967744
5_48_29_85,13.838709677419354,240.5483870967742,363.51612903225805,26.580645161290324,12.387096774193548,127.0867741935484,13.121339643628325,64.35483870967742
3_48_181_63,45.354838709677416,177.16129032258064,340.7741935483871,38.806451612903224,19.580645161290324,141.24225806451614,15.561539854491542,41.38709677419355
2_22_97_109,13.96774193548387,213.70967741935485,361.6774193548387,54.064516129032256,25.387096774193548,177.1283870967742,16.337990408833246,26.967741935483872
2_22_9_89,18.580645161290324,210.1290322580645,360.80645161290323,50.483870967741936,24.774193548387096,191.6732258064516,17.295552215568158,30.774193548387096
3_22_11_118,14.258064516129032,214.25806451612902,362.48387096774195,48.225806451612904,25.258064516129032,195.04903225806453,17.8703109869204,32.096774193548384
3_22_11_49,17.322580645161292,211.51612903225808,361.4516129032258,54,26.322580645161292,167.78451612903223,16.715006931463403,29.64516129032258
3_22_39_15,16.35483870967742,212.58064516129033,361.258064516129,54.32258064516129,25.93548387096774,178.12709677419355,16.93392570890714,28.612903225806452
3_22_39_18,15.935483870967742,213.5483870967742,361.03225806451616,53.096774193548384,25.387096774193548,178.27387096774194,16.89213861921871,28.06451612903226
3_22_39_71,13.935483870967742,212.96774193548387,361.4193548387097,53.483870967741936,25.032258064516128,171.87935483870965,16.226392221104774,29.483870967741936
3_22_3_56,13.774193548387096,212.16129032258064,361.51612903225805,54.16129032258065,27.387096774193548,172.8441935483871,16.715639602695585,28.06451612903226
3_22_3_73,13.806451612903226,211.93548387096774,361.61290322580646,55.225806451612904,25.903225806451612,173.81516129032255,16.257733994091954,28.70967741935484
3_22_3_87,13.290322580645162,212.4516129032258,361.80645161290323,54.903225806451616,29.29032258064516,184.88225806451615,17.72378905333351,29.29032258064516
4_22_103_98,18.258064516129032,214.4516129032258,362.80645161290323,56.70967741935484,28.096774193548388,201.44967741935486,16.321129138847052,30.967741935483872
4_22_63_55,17.516129032258064,217.03225806451613,362.38709677419354,54.806451612903224,27.612903225806452,207.3725806451613,17.897289323087058,30.387096774193548
4_22_91_43,20.193548387096776,213.41935483870967,361.80645161290323,60.61290322580645,31.096774193548388,199.68354838709678,18.859403972893286,28.806451612903224
5_22_119_21,44.03225806451613,188.7741935483871,346.5483870967742,50.354838709677416,25.580645161290324,151.54580645161286,17.085908914043184,31.06451612903226
5_22_119_45,38.516129032258064,192.5483870967742,350.7096774193548,46.74193548387097,24.548387096774192,157.07999999999998,16.479400407626205,30.580645161290324
5_22_21_48,31.774193548387096,201.5483870967742,354.7096774193548,48.83870967741935,25.129032258064516,170.11838709677423,16.353324947568325,30.93548387096774
