pltID,mukey,muname
3_48_113_91,364855,"Austin-Lewisville complex, 5 to 8 percent slopes, erode d"
3_48_15_53,373823,"Catilla loamy fine sand, 0 to 8 percent slopes"
4_48_239_82,375452,"Navidad fine sandy loam, frequently flooded"
5_48_29_85,390457,"Miguel fine sandy loam, 1 to 3 percent slopes"
3_48_181_63,366652,"Callisburg fine sandy loam, 2 to 5 percent slopes erode d"
2_22_97_109,823576,"Patoutville-Crowley complex, 0 to 1 percent slopes"
2_22_9_89,1711940,"Latanier clay, occasionally flooded"
3_22_11_118,1725704,"Guyton-Iulus complex, 0 to 1 percent slopes, frequently flooded"
3_22_11_49,1725683,"Beauregard silt loam, 1 to 3 percent slopes"
3_22_39_15,1017133,"Guyton-Ouachita complex, 0 to 1 percent slopes, frequently flooded"
3_22_39_18,1017143,"Iota silt loam, 3 to 8 percent slopes"
3_22_39_71,1017153,"Kinder-Vidrine complex, 0 to 1 percent slopes"
3_22_3_56,1586110,"Kinder-Gist complex, 0 to 1 percent slopes"
3_22_3_73,1586110,"Kinder-Gist complex, 0 to 1 percent slopes"
3_22_3_87,1586098,"Gore (cadeville) very fine sandy loam, 1 to 5 percent slopes"
4_22_103_98,327013,"Prentiss fine sandy loam, 0 to 1 percent slopes"
4_22_63_55,569743,"Gilbert-Brimstone silt loams, occasionally flooded"
4_22_91_43,1721653,"Toula silt loam, 1 to 3 percent slopes"
5_22_119_21,570339,"Darley gravelly loamy fine sand, 5 to 12 percent slopes"
5_22_119_45,570353,"Kolin silt loam, 1 to 3 percent slopes"
5_22_21_48,1725650,"Hebert silt loam, gently undulating, occasionally flood ed"
6_40_45_107,382462,"Dreyfoos-Vici fine sands, 1 to 12 percent slopes"
3_48_175_82,2436837,"Meguin silty clay loam, 0 to 1 percent slopes, occasionally flooded"
3_48_177_102,366509,"Edge fine sandy loam, 1 to 3 percent slopes"
4_48_157_56,365948,"Brazoria clay, 0 to 1 percent slopes, rarely flooded"
4_48_157_57,365931,"Snakecreek fine sandy loam, 0 to 1 percent slopes, frequently flooded"
4_48_39_155,363069,"Pledger clay, 0 to 1 percent slopes, rarely flooded"
4_48_39_22,363080,"Bacliff clay, 0 to 1 percent slopes, rarely flooded"
4_48_39_24,363081,"Bernard clay loam, 0 to 1 percent slopes"
5_48_325_116,370546,"Divot clay loam, occasionally flooded"
5_48_35_81,362985,"Cranfill gravelly clay loam, 3 to 5 percent slopes"
5_48_99_51,391159,"Frio silty clay, 0 to 1 percent slopes, occasionally flooded"
2_22_45_106,824192,Loreauville silt loam
2_22_77_58,1678429,"Dowling soils, 0 to 1 percent slopes, frequently flooded"
2_22_99_9,1451686,"Dowling soils, 0 to 1 percent slopes, frequently flooded"
4_22_105_66,1536517,"Myatt fine sandy loam, occasionally flooded"
4_22_33_32,577016,"Ouachita, Ochlockonee, and Guyton soils, nearly level to undulating, frequently flooded"
4_22_33_39,577022,"Scotlandville silt, 0 to 1 percent slopes"
4_22_37_13,1605282,"Smithdale sandy loam, 8 to 30 percent slopes"
5_22_111_95,1725335,"Groom silty clay loam, frequently flooded"
3_48_113_78,364813,"Eddy-Urban land complex, 1 to 4 percent slopes"
3_48_331_62,370707,"Wilson-Davilla complex, 0 to 2 percent slopes"
3_48_41_17,363235,"Tabor fine sandy loam, 0 to 2 percent slopes"
3_48_85_5,364054,"Altoga silty clay, 5 to 8 percent slopes, eroded"
4_48_39_57,363056,"Lake Charles clay, 0 to 1 percent slopes"
4_48_469_80,373086,"Dacosta-Contee complex , 0 to 1 percent slopes"
4_48_481_106,2967455,"Inez fine sandy loam, 0 to 2 percent slopes"
6_48_235_44,367969,"Rioconcho silty clay loam, 0 to 2 percent slopes, occasionally flooded"
6_48_451_96,372755,Rioconcho and Spur soils
3_37_3_11,111352,"Evard-Cowee complex, 25 to 60 percent slopes, stony"
1_48_185_6,366738,"Boy loamy fine sand, 1 to 5 percent slopes"
1_48_199_83,2760770,"Evadale-Aldine complex, 0 to 1 percent slopes"
1_48_201_203,367390,"Katy fine sandy loam, 0 to 1 percent slopes"
1_48_225_159,575540,"Moten-Multey comlpex, 0 to 2 percent slopes"
1_48_291_102,2888297,"Sorter-Tarkington complex, 0 1 percent slopes"
1_48_291_24,2888269,"Evadale-Gist complex, 0 to 1 percent slopes"
1_48_291_32,369275,"Kenefick very fine sandy loam, 0 to 3 percent slopes"
1_48_291_98,2888281,"Buna very fine sandy loam, 3 to 8 percent slopes"
1_48_339_105,2888368,"Splendora-Urban land complex, 0 to 2 percent slopes"
1_48_339_45,575584,Lilbert loamy fine sand
1_48_339_64,575603,"Splendora fine sandy loam, 0 to 2 percent slopes"
1_48_339_97,2888366,"Sorter-Urban land complex, 0 to 1 percent slopes"
1_48_473_38,373835,"Depcor loamy fine sand, 1 to 5 percent slopes"
2_48_183_28,576153,"Kullit very fine sandy loam, 1 to 3 percent slopes"
2_48_365_86,2607249,"Scottsville-Latex complex, 0 to 2 percent slopes"
2_48_365_94,2607249,"Scottsville-Latex complex, 0 to 2 percent slopes"
2_48_419_10,575742,"Dreka loam, 0 to 1 percent slopes, frequently flooded"
2_48_419_44,575781,"Laneville loam, 0 to 1 percent slopes, frequently flooded"
3_48_21_64,393324,"Uhland clay loam, 0 to 1 percent slopes, frequently flooded"
3_48_285_30,369039,"Milby sand, 0 to 2 percent slopes"
4_48_39_15,363056,"Lake Charles clay, 0 to 1 percent slopes"
4_48_39_4,363072,"Surfside clay, 0 to 1 percent slopes, occasionally flooded"
5_48_309_38,370091,"Eddy-Urban land complex, 3 to 15 percent slopes"
2_1_23_75,328565,"Boykin-Luverne-Smithdale complex, 15 to 35 percent slopes"
3_1_5_25,328234,"Bonifay loamy sand, 0 to 5 percent slopes"
5_1_127_40,331550,"Nauvoo and Sipsey soils, 6 to 12 percent slopes"
1_21_195_31,550031,"Fedscreek-Marrowbone-Dekalb complex, 30 to 80 percent slopes, very stony"
1_21_195_54,550044,"Myra very channery silt loam, 30 to 70 percent slopes, stony"
1_21_195_69,550039,"Marrowbone-Clifftop-Matewan complex, 35 to 75 percent slopes, very rocky"
1_21_95_1,552110,"Cloverlick-Guyandotte-Highsplint complex, 20 to 80 percent slopes, very stony"
1_21_95_22,552132,"Shelocta-Highsplint-Gilpin complex, 20 to 70 percent slopes, very stony"
1_21_95_23,552122,"Highsplint-Cloverlick-Guyandotte complex, 35 to 75 percent slopes, very stony"
2_21_135_40,550281,"Blairton silt loam, 12 to 30 percent slopes, eroded"
3_21_235_3,552219,"Latham-Dekalb complex, 30 to 60 percent slopes"
4_21_79_20,552940,"Eden-Culleoka association, 25 to 50 percent slopes, eroded, stony"
5_21_123_30,551043,"Hagerstown silt loam, 2 to 6 percent slopes"
5_21_169_17,549750,"Dandridge and Westmoreland shaly silt loams, 20 to 50 percent slopes (dandridge, garmon)"
5_21_207_9,552490,"Garmon-Caneyville association, very steep"
5_21_29_11,550975,"Crider silt loam, 2 to 6 percent slopes"
6_21_177_30,551101,"Frondorf-Lenberg complex, 30 to 50 percent slopes"
2_22_109_225,393672,"Schriever clay, 0 to 1 percent slopes, frequently flooded"
2_22_97_6,823543,"Loring silt loam, 1 to 5 percent slopes"
2_22_99_20,824147,"Fausse association, 0 to 1 percent slopes, frequently flooded"
2_22_99_35,824163,"Fausse soils, 0 to 1 percent slopes, frequently flooded"
2_22_99_50,3260447,"Sharkey clay, 0 to 1 percent slopes, rarely flooded, deltaic plain"
3_22_11_66,1725683,"Beauregard silt loam, 1 to 3 percent slopes"
