pltID,LAT,LON
3_48_113_91,32.580609,-96.979247
3_48_15_53,29.995342,-96.295718
4_48_239_82,29.055686,-96.758308
5_48_29_85,29.312842,-98.353339
3_48_181_63,33.73243,-96.582114
2_22_97_109,30.530733,-92.419708
2_22_9_89,31.096807,-92.107634
3_22_11_118,30.405627,-93.719541
3_22_11_49,30.714887,-93.0225
3_22_39_15,30.748883,-92.466757
3_22_39_18,30.756927,-92.311736
3_22_39_71,30.537948,-92.565326
3_22_3_56,30.493403,-92.875776
3_22_3_73,30.493704,-92.717205
3_22_3_87,30.452627,-93.116962
4_22_103_98,30.493647,-90.049076
4_22_63_55,30.538668,-90.751006
4_22_91_43,30.756783,-90.807309
5_22_119_21,32.881704,-93.298361
5_22_119_45,32.62097,-93.404262
5_22_21_48,32.192446,-92.117856
6_40_45_107,35.892276,-99.71292
3_48_175_82,28.687655,-97.600931
3_48_177_102,29.509474,-97.432111
4_48_157_56,29.526706,-95.506443
4_48_157_57,29.722859,-95.736922
4_48_39_155,29.017366,-95.759582
4_48_39_22,29.30925,-95.279053
4_48_39_24,29.178655,-95.718833
5_48_325_116,29.226067,-98.850746
5_48_35_81,32.012236,-97.613965
5_48_99_51,31.381639,-97.596912
2_22_45_106,30.103823,-91.715553
2_22_77_58,30.586719,-91.701771
2_22_99_9,30.27535,-91.709903
4_22_105_66,30.578,-90.448644
4_22_33_32,30.625368,-91.102044
4_22_33_39,30.531275,-91.053745
4_22_37_13,30.889062,-91.007975
5_22_111_95,32.747553,-92.221085
3_48_113_78,32.691215,-96.872704
3_48_331_62,30.864666,-96.992667
3_48_41_17,30.848232,-96.322272
3_48_85_5,33.27231,-96.604603
4_48_39_57,29.294697,-95.67131
4_48_469_80,28.864518,-97.071124
4_48_481_106,29.270698,-96.492896
6_48_235_44,31.239573,-100.812347
6_48_451_96,31.581386,-100.50689
3_37_3_11,36.022168,-81.15698
1_48_185_6,30.242159,-95.960436
1_48_199_83,30.282516,-94.549321
1_48_201_203,29.835276,-95.62988
1_48_225_159,31.309991,-95.227419
1_48_291_102,30.378836,-94.94816
1_48_291_24,30.334172,-94.692745
1_48_291_32,30.291649,-95.112169
