CN,PREV_PLT_CN,INVYR,LAT,LON,STATECD,UNITCD,COUNTYCD,PLOT,ECOSUBCD
22301413010478,NA,2001,32.688974,-88.049037,1,2,119,63,231Bf
22302305010478,43197433010478,2001,31.21637,-85.769876,1,3,45,31,232Bp
22302319010478,43197541010478,2001,32.4259,-86.838085,1,3,47,9,231Bf
22302358010478,43200888010478,2001,32.424174,-86.968396,1,3,47,28,231Bf
22303077010478,43396139010478,2001,32.947002,-87.81673,1,4,63,54,231Bc
22300330010478,NA,2001,30.904072,-88.054702,1,1,97,21,232Bs
22304665010478,43505157010478,2001,30.97284,-88.174431,1,1,97,124,232Bj
22304691010478,43264185010478,2001,32.217238,-85.719783,1,3,11,19,231Ba
22305242010478,43351710010478,2001,32.166548,-88.099726,1,2,23,66,231Bc
22306582010478,43238440010478,2001,31.3333,-87.196627,1,2,35,67,232Bj
22305697010478,43220455010478,2001,31.352735,-86.021287,1,3,31,16,232Bp
22301418010478,NA,2001,32.452845,-88.137641,1,2,119,75,231Bb
22303200010478,43407152010478,2001,32.68326,-87.756433,1,4,65,52,231Bf
22301083010478,43579597010478,2001,32.483108,-85.055466,1,3,113,49,231Bd
22301736010478,43426129010478,2001,33.163951,-87.759245,1,4,125,63,231Bd
22301826010478,43432831010478,2001,33.713478,-87.252439,1,5,127,40,231Ca
22302726010478,NA,2001,31.060773,-87.518819,1,1,53,83,232Bj
22302732010478,NA,2001,31.162546,-87.107126,1,1,53,56,232Bj
22303500010478,43102986010478,2001,34.63668,-86.333306,1,6,71,10,231Cd
22306062010478,NA,2001,30.526303,-87.599603,1,1,3,8,232Bg
22301889010478,43439592010478,2001,31.367833,-87.897795,1,1,129,70,232Bs
22305964010478,43315384010478,2001,30.595027,-87.734159,1,1,3,47,232Bg
22306000010478,43317542010478,2001,31.279889,-87.778588,1,1,3,58,232Bs
22306844010478,43177149010478,2001,31.745034,-86.179387,1,3,41,3,232Bn
22300241010478,43512101010478,2001,30.874597,-88.310325,1,1,97,101,232Bj
43205986010478,NA,2000,33.304781,-85.67584,1,5,27,48,231Ac
22301325010478,43520577010478,2001,32.548376,-87.952802,1,2,119,64,231Bb
43181646010478,NA,2000,31.918121,-86.387349,1,3,41,24,232Bm
43395588010478,NA,2000,32.559251,-87.871349,1,4,63,50,231Bf
22303270010478,43411883010478,2001,31.640072,-85.301175,1,3,67,52,232Bm
43220544010478,NA,2000,31.263079,-86.020369,1,3,31,46,232Bp
43222206010478,NA,2000,31.222506,-86.118136,1,3,31,18,232Bp
22301547010478,43541365010478,2001,32.920489,-85.778603,1,3,123,53,231Ab
22305362010478,43363243010478,2001,31.764932,-87.748164,1,2,25,82,232Bl
22300554010478,43034620010478,2001,32.434991,-86.230456,1,3,101,7,231Bd
22300566010478,43035292010478,2001,31.989137,-86.228652,1,3,101,32,232Bm
22300611010478,NA,2001,32.357421,-86.415256,1,3,101,24,231Ba
22300740010478,43049951010478,2001,32.603548,-87.33935,1,4,105,7,231Ba
22306594010478,NA,2001,31.444211,-86.9885,1,2,35,7,232Bj
22303368010478,43091034010478,2001,31.252946,-85.464422,1,3,69,13,232Bp
22301557010478,43543631010478,2001,32.593845,-85.885558,1,3,123,39,231Bd
22300540010478,43034151010478,2001,32.133732,-86.200106,1,3,101,57,232Bm
22301773010478,NA,2001,33.316321,-87.284523,1,4,125,49,231Bd
22301335010478,43522558010478,2001,32.606341,-88.165639,1,2,119,49,231Bb
22304289010478,43475742010478,2001,34.929041,-86.689092,1,6,89,6,223Ee
22304049010478,43070081010478,2001,34.975656,-86.968541,1,6,83,37,223Eg
22306587010478,43239678010478,2001,31.324633,-87.347925,1,2,35,62,232Bj
22306851010478,43178107010478,2001,31.603763,-86.21844,1,3,41,28,232Bm
